Id,WnvPresent
1,5.72315927138e-06
2,7.89879581466e-07
3,4.24617793874e-06
4,5.30802921202e-08
5,1.36780009152e-08
6,1.4248416866e-08
7,6.08085636584e-16
8,1.19659194158e-16
9,4.17564220404e-06
10,5.87133123409e-07
11,3.30051907627e-06
12,4.49115508786e-08
13,1.20270850646e-08
14,1.08930960052e-08
15,4.65442962225e-16
16,9.15456424623e-17
17,5.52475243693e-06
18,7.59742287513e-07
19,4.20099125368e-06
20,5.44545506401e-08
21,1.29775943961e-08
22,1.49098891855e-08
23,6.35230681476e-16
24,1.25710692062e-16
25,1.84925274851e-05
26,3.63896552688e-06
27,1.24801813825e-05
28,1.12020408623e-07
29,8.45678731089e-08
30,1.36867724759e-08
31,8.81318861335e-16
32,1.74883981475e-16
33,2.02536122773e-05
34,4.14853935521e-06
35,1.35964087973e-05
36,1.13803429913e-07
37,8.99520043083e-08
38,1.38357405581e-08
39,8.97447047214e-16
40,1.78068124143e-16
41,2.29755382989e-05
42,4.82921607061e-06
43,1.50588245372e-05
44,1.1977872488e-07
45,9.61299165012e-08
46,1.46139598429e-08
47,9.56262056841e-16
48,1.90241153032e-16
49,2.02536122773e-05
50,4.14853935521e-06
51,1.35964087973e-05
52,1.13803429913e-07
53,8.99520043083e-08
54,1.38357405581e-08
55,8.97447047214e-16
56,1.78068124143e-16
57,2.10457883353e-05
58,4.08134675738e-06
59,1.37829768127e-05
60,1.26173503315e-07
61,8.71772680867e-08
62,1.5896628394e-08
63,1.03129571948e-15
64,2.0650883018e-16
65,1.70038449621e-05
66,3.40024648856e-06
67,1.17663508322e-05
68,1.0119308404e-07
69,8.22989153407e-08
70,1.19979935794e-08
71,7.69229775842e-16
72,1.50614218236e-16
73,5.0225391389e-05
74,1.02311706481e-05
75,2.87531979911e-05
76,1.67784792919e-07
77,1.49387029031e-07
78,2.16549083388e-08
79,1.52312556957e-15
80,3.10135214278e-16
81,2.22908233159e-05
82,4.73127366374e-06
83,1.4743934341e-05
84,1.15533315389e-07
85,9.56200909193e-08
86,1.39863299301e-08
87,9.1387037283e-16
88,1.80855360385e-16
89,4.23942529068e-05
90,8.62165626985e-06
91,2.47930891669e-05
92,1.53282676348e-07
93,1.34933436117e-07
94,1.95578957514e-08
95,1.34459224436e-15
96,2.71693320408e-16
97,4.16643723424e-05
98,8.47834609892e-06
99,2.44624051064e-05
100,1.56645728478e-07
101,1.31822913407e-07
102,2.01287427091e-08
103,1.37852334833e-15
104,2.78362994822e-16
105,1.80512477114e-05
106,3.82111254626e-06
107,1.24827043479e-05
108,9.90633455353e-08
109,8.64981559337e-08
110,1.16080797494e-08
111,7.48608139883e-16
112,1.45424064065e-16
113,4.56946353966e-06
114,6.35617024455e-07
115,3.59449122029e-06
116,4.87344918212e-08
117,1.2128342446e-08
118,1.2464210403e-08
119,5.31830040836e-16
120,1.05032772242e-16
121,1.38876988449e-05
122,2.32950514979e-06
123,1.00093815799e-05
124,1.0597756347e-07
125,6.51959121872e-08
126,1.2678564811e-08
127,7.97617916753e-16
128,1.57883859554e-16
129,2.80685771539e-05
130,5.33724894967e-06
131,1.73658135676e-05
132,1.62025862907e-07
133,9.06487852175e-08
134,2.19822864752e-08
135,1.44673052659e-15
136,2.91333440136e-16
137,3.87655125182e-05
138,7.99273588947e-06
139,2.30850494739e-05
140,1.4031785005e-07
141,1.30820460648e-07
142,1.76369772495e-08
143,1.20053772557e-15
144,2.40915044252e-16
145,5.10294641741e-06
146,7.04695452894e-07
147,3.94216185498e-06
148,5.22950455578e-08
149,1.25648229619e-08
150,1.39417956908e-08
151,5.94498488616e-16
152,1.17569067476e-16
153,6.57528282686e-06
154,9.09934380503e-07
155,4.78480447038e-06
156,5.86143118836e-08
157,1.42131656999e-08
158,1.66697844511e-08
159,7.09590408152e-16
160,1.40221653404e-16
161,4.41299153491e-06
162,6.11542816307e-07
163,3.50490991211e-06
164,4.94514195404e-08
165,1.15269519883e-08
166,1.30429628459e-08
167,5.55402752731e-16
168,1.10345461889e-16
169,1.86509871858e-05
170,3.50986382654e-06
171,1.25476654072e-05
172,1.1980283888e-07
