Id,WnvPresent
1,5.17543686741e-05
2,5.10105432393e-06
3,2.34092151521e-05
4,8.28333783745e-08
5,8.6724572239e-09
6,3.33602670165e-06
7,9.43299661292e-35
8,3.53992553243e-35
9,3.83592742101e-05
10,3.7637701265e-06
11,1.70570222253e-05
12,6.01316045241e-08
13,6.71517261371e-09
14,2.73063152644e-06
15,8.00536794362e-35
16,2.96614965227e-35
17,5.32981223821e-05
18,5.24137655029e-06
19,2.45284058163e-05
20,8.87138648531e-08
21,8.80157641114e-09
22,3.60335284909e-06
23,9.95691582512e-35
24,3.76029528939e-35
25,0.000307546553937
26,3.55757142215e-05
27,0.000140224418345
28,3.37670759489e-07
29,6.64407886469e-08
30,6.08898384465e-06
31,1.24208697649e-34
32,5.00216590856e-35
33,0.000323919626291
34,3.85650506651e-05
35,0.000146509278313
36,3.55681079644e-07
37,7.02246738041e-08
38,5.97052371815e-06
39,1.21408737266e-34
40,4.89719240548e-35
41,0.000353708781824
42,4.31411776721e-05
43,0.000159840517299
44,3.93045114703e-07
45,7.6620622345e-08
46,6.10482146566e-06
47,1.23098078753e-34
48,4.97474333123e-35
49,0.000323919626291
50,3.85650506651e-05
51,0.000146509278313
52,3.55681079644e-07
53,7.02246738041e-08
54,5.97052371815e-06
55,1.21408737266e-34
56,4.89719240548e-35
57,0.000346209121905
58,4.06739793464e-05
59,0.000162004103889
60,3.99524376072e-07
61,7.54218065169e-08
62,6.95143423824e-06
63,1.39003225456e-34
64,5.62934771388e-35
65,0.000277868538447
66,3.2407356403e-05
67,0.000124871126738
68,2.95016089018e-07
69,6.03773036673e-08
70,5.37451667658e-06
71,1.11222028034e-34
72,4.47769782287e-35
73,0.000618228262699
74,9.48897158494e-05
75,0.000286207624241
76,8.21210682427e-07
77,1.40829365816e-07
78,7.61397765918e-06
79,1.45563762496e-34
80,5.9518574753e-35
81,0.000343360526164
82,4.18115745241e-05
83,0.000153882073699
84,3.74913085044e-07
85,7.42402932209e-08
86,5.85778037097e-06
87,1.18671894475e-34
88,4.79442182637e-35
89,0.000543313476425
90,7.78463869423e-05
91,0.000249502079697
92,6.74662846778e-07
93,1.2126326928e-07
94,7.07196260532e-06
95,1.37282014492e-34
96,5.59995284509e-35
97,0.000538342357333
98,7.66211936918e-05
99,0.000251644427606
100,6.81377912601e-07
101,1.20912405338e-07
102,7.32956205533e-06
103,1.415373424e-34
104,5.77163257686e-35
105,0.000287757963019
106,3.40744438047e-05
107,0.000126226330527
108,2.96416810434e-07
109,6.19868042565e-08
110,5.06027983563e-06
111,1.04777500478e-34
112,4.22495077823e-35
113,4.41574990605e-05
114,4.24070198723e-06
115,1.99570615159e-05
116,7.05026022093e-08
117,7.45399684122e-09
118,3.12511296846e-06
119,8.86573435903e-35
120,3.31573247341e-35
121,0.000252967434869
122,2.82010590036e-05
123,0.000120776512342
124,2.76699034182e-07
125,5.41564525357e-08
126,6.1126412611e-06
127,1.27772570569e-34
128,5.13818211478e-35
129,0.000433778491367
130,5.45944799002e-05
131,0.000226509392044
132,5.88440697898e-07
133,9.74288753309e-08
134,9.21899976789e-06
135,1.79436142526e-34
136,7.31668673998e-35
137,0.000510144853964
138,7.10502383581e-05
139,0.000226407870714
140,5.91850996957e-07
141,1.11072468681e-07
142,6.43373839998e-06
143,1.27024047003e-34
144,5.17512175902e-35
145,4.95795116607e-05
146,4.80639744808e-06
147,2.2726260334e-05
148,8.15616137657e-08
149,8.2463105636e-09
150,3.43010448422e-06
151,9.55664611903e-35
152,3.59725690772e-35
153,6.02807451578e-05
154,6.15386947812e-06
